,surface,series,order_surfaces,isBasement,color,vertices,edges,id
0,Overburden,OVB_Series,1,False,#ffeecc,"[[3.49700000e+06 7.51100000e+06 2.14173233e+02]
 [3.49700000e+06 7.51101350e+06 2.14221710e+02]
 [3.49701450e+06 7.51100000e+06 2.14907669e+02]
 ...
 [3.49988550e+06 7.51368370e+06 2.21000000e+02]
 [3.49988199e+06 7.51368650e+06 2.21000000e+02]
 [3.49988550e+06 7.51368650e+06 2.21029251e+02]]","[[    2     1     0]
 [    3     1     2]
 [    3     4     1]
 ...
 [41964 42165 42166]
 [41964 41963 42165]
 [42168 42167 42166]]",1
1,Olivine_Pyroxenite,UPXO_Series,1,False,#787878,"[[ 3.49700244e+06  7.51100000e+06  1.31000000e+02]
 [ 3.49700000e+06  7.51101350e+06  1.29030838e+02]
 [ 3.49700640e+06  7.51101350e+06  1.31000000e+02]
 ...
 [ 3.49987425e+06  7.51162100e+06 -2.02000000e+02]
 [ 3.49987338e+06  7.51162100e+06 -1.93000000e+02]
 [ 3.49987227e+06  7.51162100e+06 -1.84000000e+02]]","[[     2      1      0]
 [     0      1      3]
 [     0      5      4]
 ...
 [110988 111538 110990]
 [110990 111538 111539]
 [110990 111539 110955]]",2
2,basement,UPXO_Series,2,True,#ffffff,,,3
