,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
0,3498247.777,7511300.05,245.01910120000002,0.524884562674442,0.32696523577558034,0.5774419811259467,0.15643446504123087,1.0000095788483444e-12,0.9876883405961377,9.0,90.0,1.0,Overburden,OVB_Series,1,1,0.01
1,3499314.91,7514199.97,221.4434892,0.6788545452998371,0.7453766540475908,0.574040402719111,-0.017452406436283513,9.999967940449478e-13,0.9998476951573912,1.0,270.0,1.0,Overburden,OVB_Series,1,1,0.01
2,3498789.985,7512150.01,231.5309348,0.6031163822689405,0.44960067712378016,0.575495857497256,-0.026176948306873154,9.999951913726064e-13,0.9996573249765572,1.5,270.0,1.0,Overburden,OVB_Series,1,1,0.01
3,3498818.0,7511750.0,-775.321891,0.6071584923557516,0.391885722427479,0.43022332624323156,0.224951054344865,1.0000137742794332e-12,0.9743700647862352,13.0,90.0,1.0,Olivine_Pyroxenite,UPXO_Series,2,2,0.01
4,3498338.0,7511750.0,-499.788843,0.5379022781255073,0.391885722427479,0.4699782758261486,0.39073112849027375,1.0000239253812915e-12,0.9205048534534404,23.0,90.0,1.0,Olivine_Pyroxenite,UPXO_Series,2,2,0.01
5,3496503.272,7511750.0,25.30680806,0.2731807876625155,0.391885722427479,0.5457410610369423,0.05233595624394383,1.0000032046530646e-12,0.9986295347555738,3.0,90.0,1.0,Olivine_Pyroxenite,UPXO_Series,2,2,0.01
