x y z nx ny nz
 -305.3125 322 288.55606079101563 0.54328817129135132 -2.2883693551190021e-010 -0.83954626321792603
 -280.375 743 304.80267333984375 0.55020248889923096 -6.8659957719319209e-009 -0.83503127098083496
 -71.6875 832 374.96240234375 -0.24487245082855225 -1.4000471892927635e-009 -0.9695553183555603
 156.6875 671 211.84768676757812 -0.90637964010238647 -5.1077049256775808e-009 -0.42246410250663757
 174.75 600 137.66812133789062 -0.99096983671188354 5.3819348977413028e-010 -0.13408517837524414
 153.5 974.5 136.78741455078125 0.94588369131088257 8.9358120902716109e-010 0.32450577616691589
 130.9375 662 191.67626953125 0.86742478609085083 1.9572141685131328e-009 0.49756833910942078
 -152.25 743 206.67294311523437 0.47318252921104431 1.3770384832412219e-009 -0.88096439838409424
 -104.562535 223.77276611328125 0.13164469599723816 -1.0483085510770707e-009 -0.99129694700241089
 24.25 431 187.29522705078125 -0.46421462297439575 -5.8008566838907427e-009 -0.88572275638580322
 31.8125 515.5 183.24491882324219 -0.48777803778648376 6.0600817697320508e-009 -0.87296766042709351
 62.875 994 -130.27531433105469 0.93759828805923462 -1.7618514980277666e-010 0.3477204442024231
 63.25 270.5 15.595541954040527 0.98901140689849854 1.969546747915274e-009 0.14783933758735657
 38.5625 920.5 86.9869384765625 0.77575504779815674 -5.5104747431755641e-009 0.63103413581848145
 -100.8125 644.5 49.14031982421875 0.025940336287021637 -7.6451386887832484e-011 -0.99966347217559814
 -67.0625 322 48.128742218017578 -0.11013365536928177 9.7469488036239227e-010 -0.99391680955886841
 8.4375 515.5 -98.187828063964844 -0.99607491493225098 -5.2773174719078497e-010 0.088514462113380432
 -116.875 478.5 430.3876953125 -0.035663608461618423 -1.3173495280738301e-011 -0.99936383962631226
 -60.875 581 421.36367797851562 -0.31923887133598328 -4.7784691759034104e-009 -0.94767427444458008
 73.6875 774.5 352.1995849609375 -0.53492093086242676 1.0719469756281796e-010 -0.84490209817886353
 205.3125 316.5 186.96429443359375 -0.97534376382827759 2.4599615677800557e-009 -0.22069092094898224
 151.0625 774.5 -27.998405456542969 0.99126636981964111 -2.9474930829387347e-010 0.13187508285045624
 121.125 716 167.810791015625 0.91005080938339233 -1.337040145266144e-009 0.41449669003486633 
 69 917 220.23800659179687 0.48152542114257813 5.02792307788269e-010 0.87643212080001831
 104.375 634.5 115.03852081298828 -0.94901257753372192 1.9401142914432512e-009 -0.31523811817169189
 101.5 517.5 -157.85086059570312 -0.96317136287689209 -4.9426409631792012e-009 0.26888823509216309 
 91.75 221.5 -184.835693359375 -0.93763512372970581 1.1248595388479998e-009 0.34762102365493774 
 91.75 498 -184.835693359375 -0.93763512372970581 -3.0388309646411926e-009 0.34762105345726013
 56.9375 625.5 -61.223236083984375 0.99842602014541626 8.9614110576619055e-010 -0.056084137409925461
 -57.75 634.5 112.07718658447266 0.12167748063802719 -1.4675211046366599e-009 0.9925696849822998
 -133.5 266.5 113.05599975585937 -0.099214993417263031 9.122710920017596e-010 0.99506604671478271
 -170.25 850 104.18254852294922 -0.38610449433326721 -1.4429698547147041e-009 0.9224550724029541
 -219.1875 984 75.371337890625 -0.58360052108764648 4.6092920591433995e-009 0.81204086542129517047 
 -214.0625 861 36.089004516601563 0.57824623584747314 2.3892148259818669e-009 -0.81586229801177979 
 5.8125 221.5 -241.031005859375 -0.90361309051513672 -8.3628126645862721e-010 0.42834964394569397
 -327.125 572 224.86953735351562 0.6827160120010376 -4.9522108636068651e-010 -0.73068386316299438 
 97.1875 498 248.76127624511719 0.51938283443450928 1.3474121818290996e-009 0.85454165935516357 
 90.9375 625.5 253.02311706542969 0.53651440143585205 -1.3798986397972612e-009 0.84389114379882813
 53.875 438 273.4989013671875 0.49034738540649414 -2.8045514799401872e-009 0.87152707576751709 
 -205 498 291.0306396484375 -0.6005251407623291 8.0841608962600731e-009 0.79960590600967407
 -285.9375 607.5 194.19227600097656 -0.94044280052185059 1.8775510035595744e-009 0.33995190262794495
 -234.75 992 125.02379608154297 0.35639432072639465 4.6175196999342916e-010 -0.93433564901351929
 16.75 234 164.26068115234375 -0.49087551236152649 1.6033571692553039e-010 -0.87122970819473267
 76.4375 725.5 10.253329277038574 0.99913090467453003 -2.1426257990064812e-010 0.041682250797748566
 -101.3125 861 152.18910217285156 -0.15477205812931061 -1.349812928097549e-009 0.98795020580291748
 -108.3125 488.5 150.94050598144531 -0.1863296777009964 -7.6673090099177443e-010 0.9824872612953186
 -129.25 338.5 146.80172729492187 -0.16770249605178833 5.0165432918802821e-010 0.98583763837814331 
 -257.5 266.5 89.412483215332031 -0.56225711107254028 -3.7735161662055816e-009 0.82696247100830078
 -329.3125 697.5 -60.150722503662109 -0.70127195119857788 2.6093798233262078e-009 -0.71289384365081787
 -197.4375 688 -10.80901050567627 0.62901496887207031 -2.3404276294769488e-009 -0.7773931622505188
 -91.5625 338.5 24.641130447387695 -0.015521131455898285 4.6420664534529976e-010 -0.99987953901290894
 -49.3125 241.5 18.853885650634766 -0.22638198733329773 9.4424679186744243e-010 -0.97403860092163086
 -16.125 581 -5.7670712471008301 -0.88923770189285278 2.8531361717654136e-009 -0.45744538307189941
 -16.125 754.5 -5.7670712471008301 -0.88923770189285278 5.2290696217482946e-009 -0.4574454128742218
 -7.8125 488.5 -47.322566986083984 -0.99996113777160645 2.3046954969463407e-011 -0.0088160177692770958
 -10.375 458.5 -132.52870178222656 -0.99068403244018555 -7.3380457266125632e-010 0.13618041574954987
