X,Y,Z,azimuth,dip,polarity,formation
4495968.432,5295343.417,580,185,56,1,Lower Bunte Molasse
4496391.685,5295289.428,560,185,50,1,Lower Bunte Molasse
4496654.936,5295013.079,580,190,68,1,Lower Bunte Molasse
4496660.002,5295090.906,570,195,58,1,Lower Bunte Molasse
4496664.926,5294929.684,590,185,66,1,Lower Bunte Molasse
4496691.274,5295140.921,565,185,72,1,Lower Bunte Molasse
4496692.498,5295183.616,560,185,60,1,Lower Bunte Molasse
4496717.548,5295229.855,555,190,60,1,Lower Bunte Molasse
4497146.897,5294903.511,565,0,78,1,Lower Bunte Molasse
4497228.282,5295392.688,535,180,42,1,Lower Bunte Molasse
4482177.06,5290483.031,821.7939165,355,30,1,Lower Bunte Molasse
4482465.806,5290504.383,827.2762013,3,31,1,Lower Bunte Molasse
4482427.268,5290554.534,823.3395638,21,20,1,Lower Bunte Molasse
4482576.363,5290689.395,816.8630493,352,33,1,Lower Bunte Molasse
4482946.491,5291181.177,760.3779345,167,20,1,Lower Bunte Molasse
4483517.552,5290758.899,847.9839009,8,16,1,Lower Bunte Molasse
4483513.931,5290803.384,839.4975785,355,30,1,Lower Bunte Molasse
4484796.812,5290608.952,818.902622,2,15,1,Lower Bunte Molasse
4484889.553,5290719.894,832.4584102,3,41,1,Lower Bunte Molasse
4484964.633,5290758.612,837.7153235,355,39,1,Lower Bunte Molasse
4486215.134,5291109.389,738.4329529,188,9,1,Lower Bunte Molasse
4485884.89,5290472.761,767.8612014,178,88,-1,Lower Bunte Molasse
4486490.295,5290697.349,762.6323745,183,78,-1,Lower Bunte Molasse
4490393.127,5292286.907,782.8863969,168,39,1,Lower Bunte Molasse
4490528.283,5292427.555,792.0488808,165,43,1,Lower Bunte Molasse
4490494.793,5292572.152,791.7545018,163,44,1,Lower Bunte Molasse
4490450.039,5292703.759,789.9131494,160,36,1,Lower Bunte Molasse
4490365.105,5292740.926,785.124228,161,51,1,Lower Bunte Molasse
4488469.304,5291117.439,773.48508,165,26,1,Lower Bunte Molasse
4466743.516,5291648.33,650,160,78,-1,Lower Chattian Coal FM
4467308.684,5291285.523,670,40,75,1,Lower Chattian Coal FM
4467864.937,5290871.009,685,25,70,1,Lower Chattian Coal FM
4468122.903,5290741.715,695,20,72,1,Lower Chattian Coal FM
4473176.276,5290124.993,855,10,70,1,Lower Chattian Coal FM
4473670.924,5290065.235,870,0,66,1,Lower Chattian Coal FM
