X,Y,Z,azimuth,dip,polarity,formation
709319.1556,5293849.713,795,180,43,1,Lower Bunte Molasse
718072.2334,5293727.343,763.7801069,138,45,-1,Lower Chattian Coal FM
707978.4173,5293684.608,775,175,41,1,Lower Bunte Molasse
714452.6423,5293670.18,810,155,62,-1,Lower Bunte Molasse
717980.9863,5293625.647,727.0340327,169,35,-1,Lower Chattian Coal FM
717982.3107,5293590.42,727.023307,186,31,-1,Lower Chattian Coal FM
711439.8226,5293576.177,755,160,42,1,Lower Bunte Molasse
709427.5385,5293445.589,815,185,35,1,Lower Bunte Molasse
718154.4313,5293437.425,750.6853594,164,28,-1,Baustein Beds
713187.5629,5293350.878,773.48508,165,26,1,Lower Bunte Molasse
705993.7013,5293272.465,725,175,32,1,Lower Bunte Molasse
708824.7878,5293271.844,850,170,26,1,Lower Bunte Molasse
717298.9467,5293269.858,805,160,35,-1,Lower Chattian Coal FM
710935.0628,5293255.452,738.4329529,188,9,1,Lower Bunte Molasse
708075.3894,5293246.675,815,140,28,1,Lower Bunte Molasse
707665.6557,5293200.492,760.3779345,167,20,1,Lower Bunte Molasse
698380.6732,5293112.618,740,170,48,1,Lower Bunte Molasse
693172.1171,5293109.149,690,165,75,1,Lower Bunte Molasse
699027.8102,5293090.297,770,175,72,1,Lower Bunte Molasse
698794.3215,5293082.285,760,180,55,1,Lower Bunte Molasse
691886.6663,5293042.423,670,130,70,1,Baustein Beds
691455.451,5293039.29,650,160,78,-1,Lower Chattian Coal FM
715941.3159,5292985.433,840,165,38,-1,Lower Chattian Coal FM
715788.7559,5292985.316,875,165,46,-1,Lower Chattian Coal FM
693052.9242,5292971.674,690,20,80,1,Lower Bunte Molasse
699182.001,5292969.535,770,170,63,1,Lower Bunte Molasse
706155.1998,5292914.803,750,25,17,1,Lower Bunte Molasse
691654.5062,5292878.99,655,120,60,1,Baustein Beds
709698.924,5292856.417,837.7153235,355,39,1,Lower Bunte Molasse
711226.0284,5292854.328,762.6323745,183,78,-1,Lower Bunte Molasse
708247.385,5292844.93,839.4975785,355,30,1,Lower Bunte Molasse
699392.8468,5292837.708,790,345,20,1,Lower Bunte Molasse
715554.5263,5292826.373,905,160,38,-1,Baustein Beds
706854.0703,5292815.41,785,25,18,1,Lower Bunte Molasse
709625.391,5292814.812,832.4584102,3,41,1,Lower Bunte Molasse
708252.7281,5292800.613,847.9839009,8,16,1,Lower Bunte Molasse
699677.2996,5292784.413,795,0,23,1,Lower Bunte Molasse
699475.7362,5292755.223,795,355,31,1,Lower Bunte Molasse
709537.0073,5292700.344,818.902622,2,15,1,Lower Bunte Molasse
692034.2769,5292698.647,670,40,75,1,Lower Chattian Coal FM
707314.8221,5292694.672,816.8630493,352,33,1,Lower Bunte Molasse
709858.1143,5292673.013,800,5,50,1,Lower Bunte Molasse
702761.1385,5292670.816,775,0,36,1,Lower Bunte Molasse
699553.0324,5292652.184,785,5,41,1,Lower Bunte Molasse
698222.7617,5292647.381,735,350,18,1,Lower Bunte Molasse
715771.829,5292622.915,930.5,170,40,1,Helvetics_Base_Thrust
699283.2634,5292607.748,800,355,60,1,Lower Bunte Molasse
710629.697,5292606.411,767.8612014,178,88,-1,Lower Bunte Molasse
706161.7733,5292588.573,755,20,25,1,Lower Bunte Molasse
